Name;Type;Ratio;Amount
hasSourceAnchor;Boolean;1.00;35
hasSubmorphs;Boolean;1.00;128
hasTraitComposition;Boolean;1.00;434
hasUniqueMooseNameInModel;Boolean;1.00;145
hasUnresolved:;Boolean;1.00;36
hash;Integer;1.00;1018
head;IceCommitish;0.84;41
height;Number;0.98;484
height:;#yourself;1.00;138
help:;#yourself;1.00;86
hidePlaceholder;BlElement;1.00;31
highlightedForDrop;Boolean;1.00;90
highlightedForMouseDown;Boolean;1.00;90
holder;ToNodeHolder;0.94;59
hookDiagramElement;OPElementController;1.00;78
horizontal:;#yourself;0.94;31
horizontalTick;RSHorizontalTick;1.00;32
host:;#yourself;0.95;37
hostClass:;#yourself;1.00;50
icon:;#yourself;1.00;103
iconName;Symbol;1.00;149
iconName:;#yourself;1.00;74
iconNamed:;Form;0.86;50
identifierMinorVersionNumber;Integer;1.00;187
ignoredNames;Array;1.00;31
implementingClassesIn:;Array;1.00;41
in:;#soleInstance;0.86;31
in:forModelElement:;OPDiagramElement;1.00;55
inGit;#soleInstance;1.00;38
includes:;Boolean;0.86;115
includesClass:;Boolean;1.00;82
includesKey:;Boolean;1.00;59
includesLocalSelector:;Boolean;1.00;811
includesProtocol:in:;Boolean;1.00;32
includesSelector:in:;Boolean;1.00;61
incomingAccesses;FMSlotMultivalueLink;1.00;35
incomingAssociationTypesIn:;Array;1.00;63
incomingMSEProperties;Array;1.00;46
incomingMSEPropertiesIn:;Array;1.00;46
index:;#yourself;1.00;46
indexOf:;Integer;1.00;43
indexOf:ifAbsent:;Integer;1.00;33
initalizeProjectWithRepositoryDescription:;MetacelloMCBaselineProject;1.00;302
initialize;#yourself;1.00;7891
initialize:;#yourself;1.00;140
initializeAnalyzing;#yourself;1.00;82
initializeBorder;BorderedMorph;1.00;54
initializeCache;SmallDictionary;0.81;48
initializeDataSource;BlElement;1.00;35
initializeDirectGeneralizations;#yourself;1.00;175
initializeEventDispatcher;BlElement;1.00;85
initializeForToplo;#yourself;1.00;149
initializeGeneralizations;OPUMLBootstrapObject;1.00;88
initializeItems;ClyQueryResult;1.00;35
