name;Type;Ratio;Amount
writers:;#yourself;1.00;57
xMLConvertingStreamAdapter;XMLStreamAdapterTest;0.89;49
xMLOn:;XMLNode;1.00;55
accessor:;#yourself;0.97;102
action:;#yourself;0.87;167
alpha:;#yourself;0.83;30
atIndex:;#yourself;0.92;85
baseline:;#yourself;0.86;30
border:;#yourself;0.99;211
bounds:;#yourself;1.00;192
builder:;#yourself;0.80;69
canvas:;#yourself;1.00;181
check;Boolean;0.89;110
children;Collection;1.00;908
children:;#yourself;0.83;49
className:;#yourself;0.80;94
classVariable:;ReAbstractTransformation;0.83;38
close;#yourself;0.94;237
codec:;WAObject;0.82;40
collection;SequenceableCollection;0.89;58
color:;#yourself;0.94;740
comment:;#yourself;0.93;130
comments;FMSlotMultivalueLink;0.94;60
configuration:;#yourself;0.91;81
container:;#yourself;0.91;51
dataSource:;#yourself;0.97;56
delay:;#yourself;0.98;52
dependencies:;#yourself;0.89;40
depth;Integer;0.97;100
description:;#yourself;0.91;693
direction:;#yourself;0.80;105
domain:;#yourself;1.00;80
duration:;#yourself;0.95;53
during:;#yourself;0.84;173
element:;#yourself;0.83;151
entries;SequenceableCollection;0.95;63
environment:;#yourself;0.97;60
equals:;#yourself;0.82;142
errorString:;RBCondition;0.94;31
extent:;#yourself;0.92;631
factory:;#yourself;0.87;34
filter:;#yourself;0.83;55
font:;#yourself;0.91;91
forRoot:;SpPresenter class;1.00;52
foreground:;#yourself;0.95;36
from:in:;ReAbstractTransformation;0.82;41
fromQueue:;ToElementState;1.00;34
hasNodes:;TestCase;1.00;30
height;Number;0.98;485
height:;#yourself;0.81;158
help:;#yourself;0.89;86
horizontal:;#yourself;0.89;31
host:;#yourself;0.90;37
icon:;#yourself;0.93;111
iconName:;#yourself;0.91;74
in:context:;#yourself;0.80;37
inContext:seen:;Boolean;1.00;45
inMethod:inClass:;RBMethodTransformation;0.88;70
includes:;Boolean;0.87;124
interval:;#yourself;0.81;35
isEmpty;Boolean;0.99;412
isNotEmpty;Boolean;0.96;69
item:;#yourself;0.98;109
key;Symbol;0.81;138
label:;#yourself;0.92;323
labelled:;#yourself;0.90;47
lines;SequenceableCollection;0.87;39
mappings:;Boolean;0.88;44
matches:;Boolean;0.90;160
min:;#yourself;0.81;35
model:;#yourself;0.84;824
name;Symbol;0.98;882
name:;#yourself;0.93;1351
named:;#soleInstance;0.83;426
new:;#soleInstance;0.99;188
newComment:;XMLComment;0.91;40
nodes:;#yourself;0.82;56
of:in:;#soleInstance;0.83;190
on:send:to:;#yourself;0.89;32
onLayout:context:;BlElement;0.92;72
onShape:;RSInteraction;1.00;172
opacity:;#yourself;0.95;39
order:;#yourself;0.97;111
orientation:;#yourself;1.00;39
package:;#yourself;0.92;376
padding:;#yourself;1.00;150
parent:;#yourself;0.86;655
placeholders:;Boolean;1.00;33
position:;#yourself;0.95;550
prefix;Symbol;0.88;63
presenter:;#yourself;1.00;40
previous:;#yourself;0.81;35
priority:;#yourself;0.92;98
properties;Collection;0.84;273
range:;#yourself;0.88;89
renderedIn:;#yourself;1.00;32
replace:with:;#yourself;0.97;66
repository:;#yourself;0.88;190
rewriteTo:;ReNodeRewriteRule;1.00;38
row:;FTCellMorph;0.83;39
selection:;#yourself;0.89;31
setValue:;#yourself;0.84;67
sharedVariables:;#yourself;0.91;32
shortcutKey:;SpCommand;1.00;78
size;Integer;0.95;874
size:;#yourself;0.81;206
slots:;#yourself;0.97;68
source:;#yourself;0.81;323
span:;#yourself;0.95;38
stamp:;#yourself;0.90;35
stream:;#yourself;0.90;89
style:;#yourself;0.83;53
superclass:;#yourself;1.00;134
target:;#yourself;0.87;516
toString:;String;0.93;40
traceWith:;#yourself;1.00;61
type:;#yourself;0.86;162
update:;#yourself;0.96;53
username:;#yourself;0.91;30
variable:class:;RBVariableRefactoring;1.00;45
weight:;#yourself;0.86;60
white;Color;0.95;35
width;Number;0.98;513
width:;#yourself;0.86;305
withArguments:;#yourself;0.88;46
withBlock:;RBCondition;0.93;38
withModel:;Array;0.89;155
withProtocol:;#soleInstance;0.89;32
withScope:;ClyQuery;0.87;151
x:;#yourself;0.98;45
